"Source:","D:\Data\PlatformIO\SFB\SFB\Schematics\SFB\SFB.sch"
"Date:","02.08.2021 18:03:10"
"Tool:","Eeschema (5.1.2)-2"
"Component Count:","11"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"J1","JST XH 1x5 angled","Connector_JST:JST_XH_S5B-XH-A_1x05_P2.50mm_Horizontal","~","",""
"SW1","SW_DPST","SFB:SW_Tactile_Straight_KSA0Axx1LFTR-4Pin","~","",""
"SW2","SW_DPST","SFB:SW_Tactile_Straight_KSA0Axx1LFTR-4Pin","~","",""
"SW3","SW_DPST","SFB:SW_Tactile_Straight_KSA0Axx1LFTR-4Pin","~","",""
"U1","Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","",""
"U2","A1326 LUA-T","Package_TO_SOT_THT:TO-92Flat","http://www.allegromicro.com/~/media/Files/Datasheets/A1301-2-Datasheet.ashx","",""
"U3","A1326 LUA-T","Package_TO_SOT_THT:TO-92Flat","http://www.allegromicro.com/~/media/Files/Datasheets/A1301-2-Datasheet.ashx","",""
"U4","A1326 LUA-T","Package_TO_SOT_THT:TO-92Flat","http://www.allegromicro.com/~/media/Files/Datasheets/A1301-2-Datasheet.ashx","",""
"U5","A1326 LUA-T","Package_TO_SOT_THT:TO-92Flat","http://www.allegromicro.com/~/media/Files/Datasheets/A1301-2-Datasheet.ashx","",""
"U6","A1326 LUA-T","Package_TO_SOT_THT:TO-92Flat","http://www.allegromicro.com/~/media/Files/Datasheets/A1301-2-Datasheet.ashx","",""
"U7","SSD1306","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","",""
